title,company,location,salary,rating
"Data Scientist I, II",First Financial Federal Credit Union of Maryland,"Sparks Glencoe, MD",$108K - $160K (Employer provided),4.3
Risk Data Scientist,"Growers Edge Financial, Inc.",Remote,$100K - $120K (Employer provided),4.6
Data Scientist,Meta,"Burlingame, CA",$178K - $197K (Employer provided),3.9
Data Scientist Engineer (US),Fetcherr,"Miami, FL",$85K - $135K (Glassdoor est.),4.8
Data Scientist for Partnership with Startup,Alloyed Enterprises Corp.,United States,$64K - $1M (Employer provided),
Data Scientist,Gannett,Remote,$57.00 - $60.00 Per Hour (Employer provided),3.1
ERM Data Engineer / Scientist,"BankUnited, N. A.","Miami Lakes, FL",$88K - $124K (Glassdoor est.),3.7
Associate Data Scientist,i2c inc.,"Redwood City, CA",$90K - $141K (Glassdoor est.),3.5
DATA SCIENTIST,GenuineXs LLC,Remote,$80.00 - $90.00 Per Hour (Employer provided),
Data Scientist-Toxicity Data Curation,Cognizance Technologies,"College Park, MD",$110K - $135K (Employer provided),
Data Scientist,United Way,"Alexandria, VA",$94K - $103K (Employer provided),3.5
Data Scientist - Remote,Optum,"Eden Prairie, MN",$90K - $161K (Employer provided),3.5
Data Scientist-Hybrid,Logix Federal Credit Union,"Valencia, CA",$99K - $153K (Employer provided),3.5
Data Scientist,AG1,Remote,$150K - $180K (Employer provided),4.1
Data Scientist,Scalepex,"Mexico, MO",$72K - $126K (Glassdoor est.),3.0
Data Scientist,Advent Services,"Dayton, OH",$69K - $113K (Glassdoor est.),3.5
"Associate Scientist, Data II",AbbVie,"North Chicago, IL",$68K - $93K (Glassdoor est.),4.0
Data Scientist,CRED Platform,United States,,
"Data Scientist, Entry-Level",Savannah River National Laboratory,"Aiken, SC",$81K - $137K (Glassdoor est.),3.6
Data Scientist,"Government Consulting Solutions, LLC","Dayton, OH",$78K - $127K (Glassdoor est.),5.0
Data Scientist,Northstar Travel Media LLC,"Rutherford, NJ",$125K - $160K (Employer provided),4.0
Associate Data Scientist,NextEra Energy,"Juno Beach, FL",$76K - $101K (Glassdoor est.),3.8
Data Scientist,OOCL USA Inc,"San Jose, CA",$110K - $132K (Employer provided),3.6
Data Scientist,Softmat Services,"South Portland, ME",$95K - $158K (Employer provided),
Data Scientist,Alston & Bird,"Atlanta, GA",$82K - $123K (Glassdoor est.),4.2
Data Scientist - REMOTE,JSR Tech Consulting,United States,,5.0
Data Scientist I,East Bay Municipal Utility District (EBMUD),"Oakland, CA",$103K - $147K (Glassdoor est.),3.7
Data Scientist,Forman Technology Group,"Plano, TX",$87K - $117K (Employer provided),
Data Scientist (Forecasting),Agero,Remote,$98K - $155K (Employer provided),3.2
Data Scientist,JY Systems LLC,"Fort Meade, MD",$170K - $190K (Employer provided),
